symbol,index,date
MRK,DIA,5/1/2007
MSFT,DIA,5/1/2007
MTLQQ,DIA,5/1/2007
PFE,DIA,5/1/2007
PG,DIA,5/1/2007
T,DIA,5/1/2007
UTX,DIA,5/1/2007
VZ,DIA,5/1/2007
WMT,DIA,5/1/2007
XOM,DIA,5/1/2007
AA,DIA,6/1/2007
AIG,DIA,6/1/2007
AXP,DIA,6/1/2007
BA,DIA,6/1/2007
C,DIA,6/1/2007
CAT,DIA,6/1/2007
DD,DIA,6/1/2007
DIS,DIA,6/1/2007
GE,DIA,6/1/2007
HD,DIA,6/1/2007
HON,DIA,6/1/2007
HPQ,DIA,6/1/2007
IBM,DIA,6/1/2007
INTC,DIA,6/1/2007
JNJ,DIA,6/1/2007
JPM,DIA,6/1/2007
KO,DIA,6/1/2007
MCD,DIA,6/1/2007
MMM,DIA,6/1/2007
MO,DIA,6/1/2007
MRK,DIA,6/1/2007
MSFT,DIA,6/1/2007
MTLQQ,DIA,6/1/2007
PFE,DIA,6/1/2007
PG,DIA,6/1/2007
T,DIA,6/1/2007
UTX,DIA,6/1/2007
VZ,DIA,6/1/2007
WMT,DIA,6/1/2007
XOM,DIA,6/1/2007
AA,DIA,7/2/2007
AIG,DIA,7/2/2007
AXP,DIA,7/2/2007
BA,DIA,7/2/2007
C,DIA,7/2/2007
CAT,DIA,7/2/2007
DD,DIA,7/2/2007
DIS,DIA,7/2/2007
GE,DIA,7/2/2007
HD,DIA,7/2/2007
HON,DIA,7/2/2007
HPQ,DIA,7/2/2007
IBM,DIA,7/2/2007
INTC,DIA,7/2/2007
